2025-11-13 17:34:31,933 | data.data_loader | WARNING | Scaler for columns ['Open', 'High', 'Low', 'Volume', 'SMA_20', 'SMA_50', 'EMA_12', 'EMA_26', 'RSI_14', 'MACD', 'MACD_Signal', 'Bollinger_Middle', 'Bollinger_Upper', 'Bollinger_Lower', 'Stochastic_%K', 'Stochastic_%D', 'Close_lag_1', 'Close_lag_5', 'Close_lag_10', 'Close_lag_21', 'RollingMean_5', 'RollingStd_5', 'RollingMin_5', 'RollingMax_5', 'RollingMean_10', 'RollingStd_10', 'RollingMin_10', 'RollingMax_10', 'RollingMean_21', 'RollingStd_21', 'RollingMin_21', 'RollingMax_21', 'RollingMean_63', 'RollingStd_63', 'RollingMin_63', 'RollingMax_63', 'VolumeMean_5', 'VolumeStd_5', 'OnBalanceVolume_5', 'VolumeMean_10', 'VolumeStd_10', 'OnBalanceVolume_10', 'VolumeMean_21', 'VolumeStd_21', 'OnBalanceVolume_21', 'VolumeMean_63', 'VolumeStd_63', 'OnBalanceVolume_63'] not found. Skipping.
2025-11-13 17:34:31,947 | data.data_loader | WARNING | Scaler for columns ['Open', 'High', 'Low', 'Volume', 'SMA_20', 'SMA_50', 'EMA_12', 'EMA_26', 'RSI_14', 'MACD', 'MACD_Signal', 'Bollinger_Middle', 'Bollinger_Upper', 'Bollinger_Lower', 'Stochastic_%K', 'Stochastic_%D', 'Close_lag_1', 'Close_lag_5', 'Close_lag_10', 'Close_lag_21', 'RollingMean_5', 'RollingStd_5', 'RollingMin_5', 'RollingMax_5', 'RollingMean_10', 'RollingStd_10', 'RollingMin_10', 'RollingMax_10', 'RollingMean_21', 'RollingStd_21', 'RollingMin_21', 'RollingMax_21', 'RollingMean_63', 'RollingStd_63', 'RollingMin_63', 'RollingMax_63', 'VolumeMean_5', 'VolumeStd_5', 'OnBalanceVolume_5', 'VolumeMean_10', 'VolumeStd_10', 'OnBalanceVolume_10', 'VolumeMean_21', 'VolumeStd_21', 'OnBalanceVolume_21', 'VolumeMean_63', 'VolumeStd_63', 'OnBalanceVolume_63'] not found. Skipping.
2025-11-13 17:34:31,986 | models.lstm_model | INFO | Training LSTM for horizon 1 days
2025-11-13 17:34:46,096 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((0, 0, 1, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:34:46,116 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((0, 0, 2, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:34:46,118 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((0, 0, 3, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:34:46,119 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((0, 0, 4, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:34:46,121 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((0, 0, 5, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:34:52,444 | h5py._conv | DEBUG | Creating converter from 5 to 3
2025-11-13 17:34:52,916 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((1, 0, 1, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:34:52,917 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((1, 0, 2, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:34:52,918 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((1, 0, 3, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:34:52,919 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((1, 0, 4, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:34:52,921 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((1, 0, 5, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:35:04,490 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((2, 0, 1, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:35:04,490 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((2, 0, 2, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:35:04,491 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((2, 0, 3, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:35:04,492 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((2, 0, 4, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:35:04,492 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((2, 0, 5, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:35:19,752 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((3, 0, 1, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:35:19,759 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((3, 0, 2, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:35:19,760 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((3, 0, 3, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:35:19,760 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((3, 0, 4, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:35:19,763 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((3, 0, 5, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:35:41,520 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((4, 0, 1, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:35:41,526 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((4, 0, 2, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:35:41,527 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((4, 0, 3, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:35:41,530 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((4, 0, 4, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:35:41,531 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((4, 0, 5, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:36:08,877 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((5, 0, 1, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:36:08,885 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((5, 0, 2, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:36:08,887 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((5, 0, 3, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:36:08,887 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((5, 0, 4, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
2025-11-13 17:36:08,888 | models.arima_model | DEBUG | Failed to fit SARIMAX((0, 1, 5))x((5, 0, 5, 5)): Invalid model: moving average lag(s) {np.int64(5)} are in both the seasonal and non-seasonal moving average components.
